-0.039, 0.032, -0.007, 0.018, 0, -0.038, -0.163, -0.006, 0.309, 1.0
-0.038, -0.163, -0.006, 0.309, 1, -0.041, 0.032, 0.000, 0.014, 1.0
-0.041, 0.032, 0.000, 0.014, 0, -0.041, -0.163, 0.000, 0.307, 1.0
-0.041, -0.163, 0.000, 0.307, 0, -0.044, -0.358, 0.006, 0.600, 1.0
-0.044, -0.358, 0.006, 0.600, 1, -0.051, -0.163, 0.018, 0.309, 1.0
-0.051, -0.163, 0.018, 0.309, 1, -0.054, 0.032, 0.025, 0.022, 1.0
-0.054, 0.032, 0.025, 0.022, 0, -0.054, -0.164, 0.025, 0.323, 1.0
-0.054, -0.164, 0.025, 0.323, 1, -0.057, 0.031, 0.032, 0.038, 1.0
-0.057, 0.031, 0.032, 0.038, 1, -0.056, 0.226, 0.032, -0.245, 1.0
-0.056, 0.226, 0.032, -0.245, 0, -0.052, 0.030, 0.027, 0.058, 1.0
-0.052, 0.030, 0.027, 0.058, 1, -0.051, 0.225, 0.029, -0.226, 1.0
-0.051, 0.225, 0.029, -0.226, 0, -0.047, 0.029, 0.024, 0.076, 1.0
-0.047, 0.029, 0.024, 0.076, 1, -0.046, 0.224, 0.026, -0.209, 1.0
-0.046, 0.224, 0.026, -0.209, 0, -0.042, 0.029, 0.021, 0.091, 1.0
-0.042, 0.029, 0.021, 0.091, 1, -0.041, 0.223, 0.023, -0.194, 1.0
-0.041, 0.223, 0.023, -0.194, 0, -0.037, 0.028, 0.019, 0.105, 1.0
-0.037, 0.028, 0.019, 0.105, 1, -0.036, 0.223, 0.021, -0.181, 1.0
-0.036, 0.223, 0.021, -0.181, 0, -0.032, 0.027, 0.018, 0.118, 1.0
-0.032, 0.027, 0.018, 0.118, 1, -0.031, 0.222, 0.020, -0.169, 1.0
-0.031, 0.222, 0.020, -0.169, 0, -0.027, 0.027, 0.017, 0.130, 1.0
-0.027, 0.027, 0.017, 0.130, 1, -0.026, 0.222, 0.019, -0.157, 1.0
-0.026, 0.222, 0.019, -0.157, 0, -0.022, 0.026, 0.016, 0.142, 1.0
-0.022, 0.026, 0.016, 0.142, 1, -0.021, 0.221, 0.019, -0.146, 1.0
-0.021, 0.221, 0.019, -0.146, 0, -0.017, 0.026, 0.016, 0.153, 1.0
-0.017, 0.026, 0.016, 0.153, 1, -0.016, 0.221, 0.019, -0.135, 1.0
-0.016, 0.221, 0.019, -0.135, 0, -0.012, 0.025, 0.017, 0.164, 1.0
-0.012, 0.025, 0.017, 0.164, 1, -0.011, 0.220, 0.020, -0.124, 1.0
-0.011, 0.220, 0.020, -0.124, 0, -0.007, 0.025, 0.017, 0.175, 1.0
-0.007, 0.025, 0.017, 0.175, 1, -0.006, 0.220, 0.021, -0.112, 1.0
-0.006, 0.220, 0.021, -0.112, 0, -0.002, 0.024, 0.019, 0.187, 1.0
-0.002, 0.024, 0.019, 0.187, 1, -0.002, 0.219, 0.022, -0.099, 1.0
-0.002, 0.219, 0.022, -0.099, 0, 0.003, 0.024, 0.020, 0.200, 1.0
0.003, 0.024, 0.020, 0.200, 1, 0.003, 0.218, 0.024, -0.086, 1.0
0.003, 0.218, 0.024, -0.086, 0, 0.008, 0.023, 0.023, 0.214, 1.0
0.008, 0.023, 0.023, 0.214, 1, 0.008, 0.218, 0.027, -0.071, 1.0
0.008, 0.218, 0.027, -0.071, 0, 0.012, 0.022, 0.026, 0.230, 1.0
0.012, 0.022, 0.026, 0.230, 1, 0.013, 0.217, 0.030, -0.055, 1.0
0.013, 0.217, 0.030, -0.055, 0, 0.017, 0.021, 0.029, 0.247, 1.0
0.017, 0.021, 0.029, 0.247, 1, 0.018, 0.216, 0.034, -0.036, 1.0
0.018, 0.216, 0.034, -0.036, 0, 0.022, 0.021, 0.033, 0.267, 1.0
0.022, 0.021, 0.033, 0.267, 1, 0.022, 0.215, 0.039, -0.015, 1.0
0.022, 0.215, 0.039, -0.015, 0, 0.027, 0.020, 0.038, 0.290, 1.0
0.027, 0.020, 0.038, 0.290, 1, 0.027, 0.214, 0.044, 0.010, 1.0
0.027, 0.214, 0.044, 0.010, 0, 0.031, 0.018, 0.044, 0.316, 1.0
0.031, 0.018, 0.044, 0.316, 1, 0.032, 0.213, 0.051, 0.037, 1.0
0.032, 0.213, 0.051, 0.037, 1, 0.036, 0.407, 0.051, -0.239, 1.0
0.036, 0.407, 0.051, -0.239, 0, 0.044, 0.211, 0.047, 0.070, 1.0
0.044, 0.211, 0.047, 0.070, 1, 0.048, 0.406, 0.048, -0.208, 1.0
0.048, 0.406, 0.048, -0.208, 0, 0.056, 0.210, 0.044, 0.099, 1.0
